Training: 2024-02-18 00:57:08,166-rank_id: 0
Training: 2024-02-18 00:57:11,709-: output                   ./workspace_sll_0112
Training: 2024-02-18 00:57:11,710-: lr                       0.001
Training: 2024-02-18 00:57:11,710-: momentum                 0
Training: 2024-02-18 00:57:11,710-: weight_decay             0.0005
Training: 2024-02-18 00:57:11,711-: verbose                  2000
Training: 2024-02-18 00:57:11,711-: frequent                 20
Training: 2024-02-18 00:57:11,711-: num_workers              2
Training: 2024-02-18 00:57:11,712-: batch_size               512
Training: 2024-02-18 00:57:11,712-: rec                      /home/crypto/datasets/ms1m_v3/
Training: 2024-02-18 00:57:11,712-: num_classes              93431
Training: 2024-02-18 00:57:11,712-: num_image                5179510
Training: 2024-02-18 00:57:11,712-: emb_size                 512
Training: 2024-02-18 00:57:11,713-: num_epoch                20
Training: 2024-02-18 00:57:11,713-: warmup_epoch             0
Training: 2024-02-18 00:57:11,713-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2024-02-18 00:57:11,713-: fp16                     True
Training: 2024-02-18 00:57:11,714-: lambd                    10
Training: 2024-02-18 00:57:11,715-: xi                       0
Training: 2024-02-18 00:57:11,715-: warmup_step              0
Training: 2024-02-18 00:57:11,715-: total_step               202320
Training: 2024-02-18 00:57:53,511-Speed 2024.47 samples/sec   Loss 22.7822   LearningRate 0.001000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 65536   Required: 26 hours Feat Norm 0.3124  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:57:58,568-Speed 2025.21 samples/sec   Loss 22.7368   LearningRate 0.001000   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 65536   Required: 22 hours Feat Norm 0.5500  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:58:03,627-Speed 2024.60 samples/sec   Loss 22.7215   LearningRate 0.001000   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 65536   Required: 20 hours Feat Norm 0.6067  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:58:08,690-Speed 2022.95 samples/sec   Loss 22.6954   LearningRate 0.001000   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 131072   Required: 19 hours Feat Norm 0.8725  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:58:13,757-Speed 2021.65 samples/sec   Loss 22.6617   LearningRate 0.000999   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 131072   Required: 18 hours Feat Norm 1.1596  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:58:18,825-Speed 2020.99 samples/sec   Loss 22.6207   LearningRate 0.000999   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 131072   Required: 18 hours Feat Norm 1.2469  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:58:23,896-Speed 2019.91 samples/sec   Loss 22.5468   LearningRate 0.000999   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 131072   Required: 17 hours Feat Norm 1.6234  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:58:28,967-Speed 2019.43 samples/sec   Loss 22.4925   LearningRate 0.000999   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 131072   Required: 17 hours Feat Norm 1.6112  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:58:34,041-Speed 2018.72 samples/sec   Loss 22.4471   LearningRate 0.000999   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 262144   Required: 16 hours Feat Norm 1.7485  Reg Loss 0.0000  Meet Loss 0.0000
