Training: 2024-02-02 12:22:23,655-rank_id: 0
Training: 2024-02-02 12:22:27,586-: output                   /* Anonymized */
Training: 2024-02-02 12:22:27,587-: lr                       0.001
Training: 2024-02-02 12:22:27,588-: weight_decay             0
Training: 2024-02-02 12:22:27,588-: verbose                  2000
Training: 2024-02-02 12:22:27,588-: frequent                 20
Training: 2024-02-02 12:22:27,588-: num_workers              2
Training: 2024-02-02 12:22:27,589-: batch_size               512
Training: 2024-02-02 12:22:27,589-: rec                      /* Anonymized */
Training: 2024-02-02 12:22:27,589-: num_classes              93431
Training: 2024-02-02 12:22:27,590-: num_image                5179510
Training: 2024-02-02 12:22:27,590-: emb_size                 512
Training: 2024-02-02 12:22:27,590-: num_epoch                20
Training: 2024-02-02 12:22:27,591-: warmup_epoch             0
Training: 2024-02-02 12:22:27,591-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2024-02-02 12:22:27,591-: fp16                     True
Training: 2024-02-02 12:22:27,592-: lambd                    10
Training: 2024-02-02 12:22:27,592-: xi                       3
Training: 2024-02-02 12:22:27,592-: warmup_step              0
Training: 2024-02-02 12:22:27,593-: total_step               202320
Training: 2024-02-02 12:33:23,502-Speed 2027.33 samples/sec   Loss 39.6672   LearningRate 0.001000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 65536   Required: 30 hours Feat Norm 11.1632  Reg Loss 0.0000  
Training: 2024-02-02 12:33:28,561-Speed 2024.59 samples/sec   Loss 38.5641   LearningRate 0.001000   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 65536   Required: 25 hours Feat Norm 14.2694  Reg Loss 0.0000  
Training: 2024-02-02 12:33:33,623-Speed 2023.65 samples/sec   Loss 38.4293   LearningRate 0.001000   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 65536   Required: 22 hours Feat Norm 7.9401  Reg Loss 0.0000  
Training: 2024-02-02 12:33:38,693-Speed 2020.09 samples/sec   Loss 37.9970   LearningRate 0.001000   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 131072   Required: 21 hours Feat Norm 8.4841  Reg Loss 0.0000  
Training: 2024-02-02 12:33:43,768-Speed 2018.12 samples/sec   Loss 38.3335   LearningRate 0.000999   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 131072   Required: 19 hours Feat Norm 10.7336  Reg Loss 0.0000  
Training: 2024-02-02 12:33:48,850-Speed 2015.29 samples/sec   Loss 37.8722   LearningRate 0.000999   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 131072   Required: 19 hours Feat Norm 9.3440  Reg Loss 0.0000  
Training: 2024-02-02 12:33:53,938-Speed 2012.99 samples/sec   Loss 37.7916   LearningRate 0.000999   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 131072   Required: 18 hours Feat Norm 11.6330  Reg Loss 0.0000  
Training: 2024-02-02 12:33:59,037-Speed 2008.78 samples/sec   Loss 37.4634   LearningRate 0.000999   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 131072   Required: 18 hours Feat Norm 10.5655  Reg Loss 0.0000  
Training: 2024-02-02 12:34:04,137-Speed 2008.43 samples/sec   Loss 37.3090   LearningRate 0.000999   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 262144   Required: 17 hours Feat Norm 12.4600  Reg Loss 0.0000  
Training: 2024-02-02 12:34:09,241-Speed 2006.28 samples/sec   Loss 37.0279   LearningRate 0.000999   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 262144   Required: 17 hours Feat Norm 11.5862  Reg Loss 0.0000  
Training: 2024-02-02 12:34:14,365-Speed 1999.17 samples/sec   Loss 36.7989   LearningRate 0.000999   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 262144   Required: 17 hours Feat Norm 9.5973  Reg Loss 0.0000  
Training: 2024-02-02 12:34:19,490-Speed 1998.47 samples/sec   Loss 36.6117   LearningRate 0.000999   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 262144   Required: 17 hours Feat Norm 9.3224  Reg Loss 0.0000  
Training: 2024-02-02 12:34:24,624-Speed 1995.03 samples/sec   Loss 36.3778   LearningRate 0.000999   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 262144   Required: 17 hours Feat Norm 8.8365  Reg Loss 0.0000  
Training: 2024-02-02 12:34:29,761-Speed 1993.86 samples/sec   Loss 36.1936   LearningRate 0.000999   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 524288   Required: 16 hours Feat Norm 8.4497  Reg Loss 0.0000  
Training: 2024-02-02 12:34:34,896-Speed 1994.54 samples/sec   Loss 36.1506   LearningRate 0.000998   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 262144   Required: 16 hours Feat Norm 9.8323  Reg Loss 0.0000  
Training: 2024-02-02 12:34:40,037-Speed 1992.20 samples/sec   Loss 36.1740   LearningRate 0.000998   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 262144   Required: 16 hours Feat Norm 9.9752  Reg Loss 0.0000  
